1,Melocotones,101,25505,0.19,30351
2,Manzanas,101,18108,0.19,21549
3,Plátanos,101,29681,0.19,35320
4,Plátanos,101,29681,0.19,35320
5,Lechuga,101,29788,0.19,35448
6,Lechuga,101,29788,0.19,35448
7,Tomates,101,12739,0.19,15159
8,Calabaza,101,21315,0.19,25365
9,Apio,101,19249,0.19,22906
10,Champiñones,101,11046,0.19,13145
11,Pepino,101,10958,0.19,13040
12,Champiñones,101,11046,0.19,13145
13,Leche,101,21150,0.19,25169
14,Leche,101,21150,0.19,25169
15,Queso,101,26571,0.19,31619
16,Queso,101,26571,0.19,31619
17,Huevos,101,12445,0.19,14810
18,Requesón,101,14329,0.19,17052
19,Crema_agria,101,14856,0.19,17679
20,Yogurt,101,14941,0.19,17780
21,Yogurt,101,14941,0.19,17780
22,Ternera,101,29335,0.19,34909
23,Ternera,101,29335,0.19,34909
24,Salmo_n_salvaje,101,11878,0.19,14135
25,Salmo_n_salvaje,101,11878,0.19,14135
26,Patas_de_cangrejo,101,29951,0.19,35642
27,Papas,101,27572,0.19,32810
28,Papas,101,27572,0.19,32810
29,Papa Criolla,101,29681,0.19,35320
30,Papa Criolla,101,29681,0.19,35320
31,Jamón,101,29788,0.19,35447
32,Jamón,101,29788,0.19,35447
33,Pasta,101,12739,0.19,15159
34,Pasta,101,12739,0.19,15159
35,Berenjena,101,21315,0.19,25364
36,Berenjena,101,21315,0.19,25364
37,Cerdo,101,19249,0.19,22906
38,Cerdo,101,19249,0.19,22906
39,Lomo,101,10958,0.19,13040
40,Lomo,101,10958,0.19,13040
41,Chata,101,11046,0.19,13144
42,Chata,101,11046,0.19,13144
43,Galletas,101,21150,0.19,25168
44,Galletas,101,21150,0.19,25168
45,Torta,101,18108,0.19,21548
46,Torta,101,18108,0.19,21548
47,Melocotones,101,25505,0.19,30351
48,Tomates,101,12739,0.19,15159
49,Calabaza,101,21315,0.19,25365
50,Requesón,101,14329,0.19,17052
51,Crema_agria,101,14856,0.19,17679
52,Patas_de_cangrejo,101,29951,0.19,35642
53,Apio,101,19249,0.19,22906
54,Pepino,101,10958,0.19,13040
55,Huevos,101,12445,0.19,14810
56,Manzanas,101,18108,0.19,21549
57,Eduardo,101,1,1,1
